Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,Positioning,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,5G bands,Dual,,_1,Triple,Features_1,SAR EU,256GB 8GB RAM,Models,128GB 6GB RAM,64GB 4GB RAM,128GB 8GB RAM,128GB 4GB RAM,Quad,Performance,Display,Camera,Loudspeaker_1,Battery (old),Build,Audio quality,SAR,Phonebook,Call records,Messaging,Games,Java,GPRS,EDGE,Protection,32GB 3GB RAM,Stand-by,Talk time,Browser,Music play
Nokia,Nokia 105 4G 2nd Edition,https://fdn2.gsmarena.com/vv/bigpic/nokia-105-4g-2nd-edition.jpg,GSM / HSPA / LTE,GSM 900 / 1800,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,"HSPA, LTE","2024, December","Available. Released 2024, December",121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),93 g (3.28 oz),Nano-SIMNano-SIM + Nano-SIM,IPS LCD,"1.8 inches, 10.0 cm2 (~16.5% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,,,microSDHC,48MB 128MB RAM,,,,,,Yes,Yes,No,"5.0, A2DP",No,No,Wireless FM radio,USB Type-C,,"Li-Ion 1450 mAh, removable",,Charcoal,About 50 EUR,,,HSDPA 850 / 900 / 2100,MP3 player,,,,,,,,,,,,,,,,,,,Yes,Yes,SMS,Yes,No,,,,,,,,
Nokia,Nokia 105 (2024),https://fdn2.gsmarena.com/vv/bigpic/nokia-105-2024.jpg,GSM,GSM 900 / 1800,,,,"2024, July 03","Available. Released 2024, July",115.5 x 49.5 x 14 mm (4.55 x 1.95 x 0.55 in),77.5 g (2.75 oz),"Dual SIM (Mini-SIM, dual stand-by)","TFT LCD, 65K colors","2.0 inches, 12.4 cm2 (~21.7% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~100 ppi density)",RTOS OS,,,,microSDHC,4 MB 4 MB RAM,,,,,,Yes,Yes,No,No,No,No,Wireless FM radio,microUSB,,"1000 mAh, removable",,"Black, Blue, Purple",,,,Splash resistant,MP3 player,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,
Nokia,Nokia C210,https://fdn2.gsmarena.com/vv/bigpic/nokia-c210.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700(AWS) / 1900,LTE,"HSPA, LTE","2023, August 16","Available. Released 2023, September 14",159.5 x 73.9 x 8.6 mm (6.28 x 2.91 x 0.34 in),167.8 g (5.93 oz),Nano-SIM,IPS LCD,"6.3 inches, 97.4 cm2 (~82.7% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~273 ppi density)",Android 13,Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),32GB 3GB RAM,5 MP,LED flash,1080p@30fps,,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n/ac,"5.0, A2DP, LE",GPS,No,Unspecified,"USB Type-C 2.0, OTG",Yes,Li-Ion 3000 mAh,,Gray,$ 109.99,,"13 MP, (wide), AF 2 MP, f/2.4, (depth)",Dust and splash resistant,eMMC 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,Corning Gorilla Glass 3,$ 109.99,,,,
Nokia,Nokia C300,https://fdn2.gsmarena.com/vv/bigpic/nokia-c300.jpg,GSM / HSPA / LTE,GSM 850 / 1900,HSDPA 850 / 1700 / 1900,LTE,"HSPA, LTE","2023, June 02","Available. Released 2023, June 14",166.7 x 76.6 x 8.6 mm (6.56 x 3.02 x 0.34 in),190 g (6.70 oz),Nano-SIM,"IPS LCD, 400 nits (typ)","6.52 inches, 102.6 cm2 (~80.4% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Android 12,Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),32GB 3GB RAM,8 MP,"LED flash, HDR, portrait, night",1080p@30fps,,Yes,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, hotspot","5.0, A2DP",GPS,No,FM radio,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, proximity, barometer",Li-Po 4000 mAh,10W wired,Blue,$ 59.95,,,Splash and dust resistant,eMMC 5.1,"13 MP, (wide), AF 2 MP, (macro) 2 MP, (depth)",,,,,,,,,,,,,,,"Glass front, plastic back, plastic frame",,,,,,,,,,Scratch-resistant glass,$ 59.95,,,,
Nokia,Nokia C110,https://fdn2.gsmarena.com/vv/bigpic/nokia-c110.jpg,GSM / HSPA / LTE,GSM 850 / 1900,HSDPA 850 / 1700 / 1900,"2, 4, 5, 12, 13, 41, 66, 71","HSPA, LTE","2023, June 02","Available. Released 2023, June 14",160.8 x 74 x 8.5 mm (6.33 x 2.91 x 0.33 in),172 g (6.07 oz),Nano-SIM,"IPS LCD, 400 nits (typ)","6.3 inches, 97.4 cm2 (~81.9% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~273 ppi density)",Android 12,Mediatek MT6762 Helio P22 (12 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, (wide), AF","LED flash, HDR",1080p@30fps,5 MP,Yes,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, hotspot","5.0, A2DP",GPS,No,FM radio,USB Type-C 2.0,"Accelerometer, proximity, barometer",Li-Po 3000 mAh,5W wired,Gray,About 100 EUR,,,Splash and dust resistant,eMMC 5.1,,,,,,,,,,,,,,,,"Glass front, plastic back, plastic frame",,,,,,,,,,Scratch-resistant glass,,,,,
Nokia,Nokia 105 4G (2023),https://fdn2.gsmarena.com/vv/bigpic/nokia-105-4g-2023.jpg,GSM / HSPA / LTE,GSM 900 / 1800,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,"HSPA, LTE","2023, May 18","Available. Released 2023, June",121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),93 g (3.28 oz),Nano-SIMNano-SIM + Nano-SIM,IPS LCD,"1.8 inches, 10.0 cm2 (~16.5% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,,,microSDHC,Unspecified,,,,,,Yes,Yes,No,"5.0, A2DP",No,No,Wireless FM radio,microUSB 2.0,,"Li-Ion 1450 mAh, removable",,"Charcoal, Ocean Blue",About 40 EUR,,,HSDPA 850 / 900 / 2100,MP3 player,,,,,,,,,,,,,,,,,,,Yes,Yes,SMS,Yes,No,,,,,,,,
Nokia,Nokia 105 (2023),https://fdn2.gsmarena.com/vv/bigpic/nokia-105-2023.jpg,GSM,GSM 900 / 1800,,,,"2023, May 18","Available. Released 2023, May 18",115.1 x 49.4 x 14.5 mm (4.53 x 1.94 x 0.57 in),78.7 g (2.75 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)","TFT LCD, 65K colors","1.8 inches, 10.0 cm2 (~17.6% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,,,No,Unspecified,,,,,,Yes,Yes,No,No,No,No,Wireless FM radio,microUSB 1.1,,Li-Ion 1000 mAh,,"Red Terracotta, Cyan, Charcoal",About 50 EUR,,,Flashlight Splash resistant,No,,,,,,,,,,,,,,,,,,,Yes,Yes,SMS,Yes,No,Yes,Yes,,,,,,
Nokia,Nokia C12 Plus,https://fdn2.gsmarena.com/vv/bigpic/nokia-c12.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE","2023, April 01",Cancelled,-,-,Nano-SIM + Nano-SIM,IPS LCD,"6.3 inches, 99.1 cm2 (~83.0% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~267 ppi density)",Android 12 (Go edition),Unisoc SC9863A1 (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC,32GB 2GB RAM,"8 MP, AF","LED flash, HDR",Yes,5 MP,720p,Yes,Yes,Wi-Fi 802.11 b/g/n,"5.2, A2DP",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 4000 mAh, removable",,"Dark Cyan, Charcoal, Light Mint",About 90 EUR,,,eMMC 5.1,,,,,,,,,,,,,,,,,"Glass front, plastic back, plastic frame",,,,,,,,,,,,,,,
Nokia,Nokia C12 Pro,https://fdn2.gsmarena.com/vv/bigpic/nokia-c12.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE","2023, March 21","Available. Released 2023, March 21",160.6 x 74.3 x 8.8 mm (6.32 x 2.93 x 0.35 in),177.4 g (6.24 oz),Nano-SIM + Nano-SIM,IPS LCD,"6.3 inches, 95.8 cm2 (~80.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~278 ppi density)",Android 12 (Go edition),Unisoc SC9863A1 (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,Unspecified,"64GB 2GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","8 MP, AF","LED flash, HDR",Yes,5 MP,720p,Yes,Yes,Wi-Fi 802.11 b/g/n,"5.2, A2DP",GPS,No,Wireless FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 4000 mAh, removable",10W wired,"Dark Cyan, Charcoal, Light Mint",About 80 EUR,,,Splash resistant,eMMC 5.1,,,,,,,,,,,,,,,,"Glass front, plastic back, plastic frame",,,,,,,,,,Scratch-resistant glass,,,,,
Nokia,Nokia C22,https://fdn2.gsmarena.com/vv/bigpic/nokia-c22-2023.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,LTE,"HSPA, LTE","2023, February 25","Available. Released 2023, February 25",164.6 x 75.9 x 8.6 mm (6.48 x 2.99 x 0.34 in),190 g (6.70 oz),Nano-SIMNano-SIM + Nano-SIM,IPS LCD,"6.5 inches, 102.0 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Android 13 (Go edition),Unisoc SC9863A (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC (dedicated slot),"64GB 2GB RAM, 64GB 3GB RAM, 128GB 4GB RAM",8 MP,"LED flash, HDR",1080p@30fps,,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n,"5.2, A2DP",GPS,No,FM radio,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Li-Po 5000 mAh,10W wired,"Sand, Midnight Black",About 90 EUR,,"13 MP, (wide), AF 2 MP, (macro)",Splash and dust resistant,eMMC 5.1,,,,,,,,,,,,,,,,"Glass front, plastic back, plastic frame",,,,,,,,,,Scratch-resistant glass,,,,,
Nokia,Nokia C02,https://fdn2.gsmarena.com/vv/bigpic/nokia-c02.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,LTE,"HSPA, LTE","2023, February 23","Available. Released 2023, May",148.7 x 71.2 x 10 mm (5.85 x 2.80 x 0.39 in),191 g (6.74 oz),Nano-SIM + Nano-SIM,IPS LCD,"5.45 inches, 76.7 cm2 (~72.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Android 12 (Go edition),,Quad-core 1.4 GHz,,microSDXC,32GB 2GB RAM,5 MP,"LED flash, HDR",720p@30fps,2 MP,720p@30fps,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.2, A2DP, LE",GPS,No,Unspecified,microUSB 2.0,Accelerometer,"Li-Ion 3000 mAh, removable",,"Dark Cyan, Charcoal",,,,Splash and dust resistant,eMMC 5.1,,,,,,,,,,,,,,,,"Plastic back, plastic frame",,,,,,,,,,,,,,,
Nokia,Nokia C12,https://fdn2.gsmarena.com/vv/bigpic/nokia-c12.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE","2023, January 18","Available. Released 2023, February 02",160.6 x 74.3 x 8.8 mm (6.32 x 2.93 x 0.35 in),177.4 g (6.24 oz),Nano-SIM + Nano-SIM,IPS LCD,"6.3 inches, 95.8 cm2 (~80.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~278 ppi density)",Android 12 (Go edition),Unisoc SC9863A1 (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,Unspecified,"64GB 2GB RAM, 64GB 3GB RAM","8 MP, AF","LED flash, HDR",Yes,5 MP,720p,Yes,Yes,Wi-Fi 802.11 b/g/n,"5.2, A2DP",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3000 mAh, removable",,"Dark Cyan, Charcoal, Light Mint",About 100 EUR,,,Splash resistant,eMMC 5.1,,,,,,,,,,,,,,,,"Glass front, plastic back, plastic frame",,,,,,,,,,Scratch-resistant glass,,,,,
Nokia,Nokia G100,https://fdn2.gsmarena.com/vv/bigpic/nokia-g100.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700(AWS) / 1900,"2, 4, 5, 7, 12, 13, 17, 44, 66, 71","HSPA, LTE","2022, September 22","Available. Released 2022, October",166.6 x 76.7 x 8.9 mm (6.56 x 3.02 x 0.35 in),195.1 g (6.88 oz),Nano-SIM,IPS LCD,"6.52 inches, 102.6 cm2 (~80.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Android 12,Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC,"32GB 3GB RAM, 128GB 4GB RAM","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band","5.0, A2DP, LE",GPS,No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer",Li-Po 5000 mAh,15W wired,Nordic Blue,About 60 EUR,,,,,"13 MP, f/1.8, (wide), AF 5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"" 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,"Glass front, plastic frame, plastic back",,,,,,,,,,,,,,,
Nokia,Nokia C200,https://fdn2.gsmarena.com/vv/bigpic/nokia-c200.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700(AWS) / 1900,"2, 4, 5, 12, 13, 41, 66, 71","HSPA, LTE (2CA)","2022, January 05","Available. Released 2022, Q2",156.5 x 73.1 x 8.8 mm (6.16 x 2.88 x 0.35 in),172.5 g (6.10 oz),Nano-SIM,IPS LCD,"6.09 inches, 91.0 cm2 (~79.6% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",Android 12,Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, AF",LED flash,1080p@30fps,8 MP,1080p@30fps,Yes,Yes,Wi-Fi 802.11 b/g/n/ac,"5.0, A2DP, LE",GPS,No,FM radio,"USB Type-C 2.0, OTG","Accelerometer, proximity, barometer",Li-Ion 4000 mAh,10W wired,Meteor Black,About 60 EUR,,,Splash protection,eMMC 5.1,,,,,"TA-1437, TA-1510",,,,,,,,,,,,,1.11 W/kg (head)     1.33 W/kg (body),,,,,,,,,,,,,
Nokia,Nokia C100,https://fdn2.gsmarena.com/vv/bigpic/nokia-c100.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700(AWS) / 1900,"2, 4, 5, 12, 13, 41, 66, 71","HSPA, LTE","2022, January 05","Available. Released 2022, Q2",149.6 x 71.9 x 9.7 mm (5.89 x 2.83 x 0.38 in),-,Nano-SIM,IPS LCD,"5.45 inches, 76.7 cm2 (~71.3% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Android 12,Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),32GB 3GB RAM,"8 MP, AF",LED flash,1080p@30fps,5 MP,720p,Yes,Yes,Wi-Fi 802.11 b/g/n/ac,"5.0, A2DP, LE",GPS,No,No,USB Type-C 2.0,"Accelerometer, proximity, barometer","Li-Ion 3000 mAh, removable",,Blue,About 50 EUR,,,Splash protection,eMMC 5.1,,,,,"TA-1484, TA-1520, N152DL",,,,,,,,,,,,,1.03 W/kg (head)     1.35 W/kg (body),,,,,,,,,,,,,
Nokia,Nokia C21 Plus,https://fdn2.gsmarena.com/vv/bigpic/nokia-c21-plus-gray.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2022, February 28","Available. Released 2022, April 29",164.8 x 75.9 x 8.6 mm (6.49 x 2.99 x 0.34 in),178 g or 191 g (6.28 oz),Nano-SIMNano-SIM + Nano-SIM,IPS LCD,"6.52 inches, 102.6 cm2 (~82.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Android 11 (Go edition),Unisoc SC9863A (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC (dedicated slot),"32GB 2GB RAM, 32GB 3GB RAM, 64GB 2GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",5 MP,"LED flash, HDR, panorama",1080p@30fps,,720p,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.2, A2DP",GPS,No,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Li-Ion 4000/5050 mAh,10W wired,"Dark Cyan, Warm Gray",About 120 EUR,,"13 MP, (wide), AF 2 MP, (depth)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,eMMC 5.1,,LED flash,0.40 W/kg (head)     0.99 W/kg (body),,"TA-1433, TA-1431, TA-1426, TA-1424",,,,,,,,,,,"Glass front, aluminum frame, plastic back",,0.57 W/kg (head)     0.65 W/kg (body),,,,,,,,Scratch-resistant glass,,,,,
Nokia,Nokia C21,https://fdn2.gsmarena.com/vv/bigpic/nokia-c21-gray.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100 - International,LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2022, February 28","Available. Released 2022, May 03",169.9 x 77.9 x 8.8 mm (6.69 x 3.07 x 0.35 in),195 g (6.88 oz),Nano-SIMNano-SIM + Nano-SIM,IPS LCD,"6.52 inches, 102.6 cm2 (~77.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Android 11 (Go edition),Unisoc SC9863A (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC (dedicated slot),"32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM",8 MP,"LED flash, HDR",720p@30fps,5 MP,720p,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.2, A2DP",GPS,No,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 3000 mAh, removable",,"Dark Blue, Warm Gray",About 70 EUR,,,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM, Brazil",eMMC 5.1,,LED flash,0.43 W/kg (head)     1.55 W/kg (body),,"TA-1356, TA-1352",,,,,,,,,,,"Glass front, aluminum frame, plastic back",,,,,,,,,,,,,,,
Nokia,Nokia 105+ (2022),https://fdn2.gsmarena.com/vv/bigpic/nokia-105-plus-2022.jpg,GSM,GSM 900 / 1800,,,,"2022, April 26","Available. Released 2022, April 26",115.2 x 49.9 x 14.3 mm (4.54 x 1.96 x 0.56 in),72 g (2.54 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)","TFT LCD, 65K colors","1.77 inches, 9.7 cm2 (~16.9% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~113 ppi density)",,Mediatek MT6261D,,,microSDHC,"4MB, 4MB RAM",,,,,,Yes,Yes,No,No,No,No,Wireless FM radio,microUSB 1.1,,"Li-Ion 800 mAh, removable",,"Red, Charcoal",About 20 EUR,,,Flashlight,MP3 player,,,,,"TA-1447, TA-1456",,,,,,,,,,,,,,Yes,Yes,SMS,Yes,No,No,No,,,,,,
Nokia,Nokia 105 (2022),https://fdn2.gsmarena.com/vv/bigpic/nokia-105-2022.jpg,GSM,GSM 900 / 1800,,,,"2022, April 26","Available. Released 2022, April 26",115.2 x 49.9 x 14.3 mm (4.54 x 1.96 x 0.56 in),70 g (2.47 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)","TFT LCD, 65K colors","1.77 inches, 9.7 cm2 (~16.9% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~113 ppi density)",,Mediatek MT6261D,,,No,"4MB, 4MB RAM",,,,,,Yes,Yes,No,No,No,No,Wireless FM radio,microUSB 1.1,,"Li-Ion 800 mAh, removable",,"Blue, Charcoal",About 20 EUR,,,Flashlight,No,,,1.50 W/kg (head)     1.38 W/kg (body),,"TA-1464, TA-1435, TA-1203, TA-1174, TA-1037, TA-1010",,,,,,,,,,,,,1.20 W/kg (head)     0.79 W/kg (body),Yes,Yes,SMS,Yes,No,No,No,,,,,,
Nokia,Nokia C2 2nd Edition,https://fdn2.gsmarena.com/vv/bigpic/nokia-c2-2nd-edition-blue.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2022, February 28","Available. Released 2022, April 19",154 x 75.9 x 10 mm (6.06 x 2.99 x 0.39 in),180 g (6.35 oz),Nano-SIMNano-SIM + Nano-SIM,IPS LCD,"5.7 inches, 83.8 cm2 (~71.7% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~188 ppi density)",Android 11 (Go edition),,Quad-core 1.5 GHz,,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 1GB RAM, 32GB 2GB RAM",5 MP,"LED flash, panorama",720p@30fps,2 MP,720p,Yes,Yes,Wi-Fi 802.11 b/g/n,"5.0, A2DP, LE",GPS,No,Wireless FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2400 mAh, removable",,"Dark Blue, Warm Gray",About 240 EUR,,,eMMC 5.1,,,LED flash,0.42 W/kg (head)     1.14 W/kg (body),,"TA-1468, TA-1454",,,,,,,,,,,"Glass front, plastic back, plastic frame",,0.52 W/kg (head)     0.68 W/kg (body),,,,,,,,,,,,,
Nokia,Nokia C30,https://fdn2.gsmarena.com/vv/bigpic/nokia-c30.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100 - International,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - International","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2021, July 27","Available. Released 2021, October 12",177.7 x 79.1 x 9.9 mm (7.00 x 3.11 x 0.39 in),237 g (8.36 oz),Nano-SIM + Nano-SIM,IPS LCD,"6.82 inches, 112.3 cm2 (~79.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~257 ppi density)",Android 11 (Go edition),Unisoc SC9863A (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC (dedicated slot),"32GB 2GB RAM, 32GB 3GB RAM, 64GB 2GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",5 MP,LED flash,1080p@30fps,,Unspecified,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.2, A2DP",GPS,No,FM radio,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity",Li-Po 6000 mAh,10W wired,"Green, White, Dark Grey",About 100 EUR,,"13 MP, (wide) 2 MP, (depth)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM,eMMC 5.1,,,0.41 W/kg (head)     1.29 W/kg (body),,"TA-1357, TA-1377, TA-1369, TA-1360, TA-1359",,,,,,,,,,,,,0.33 W/kg (head)     1.19 W/kg (body),,,,,,,,,,,,,
